Regulator Name,Regulator Type,Regulator Subtype,Regulator HGNC Symbol,Regulator Database,Regulator ID,Regulator Compartment,Regulator Compartment ID,Regulated Name,Regulated Type,Regulated Subtype,Regulated HGNC Symbol,Regulated Database,Regulated ID,Regulated Compartment,Regulated Compartment ID,Sign,Connection Type,Mechanism,Site,Cell Line,Cell Type,Tissue Type,Organism,Unnamed: 0,Score,Source,Statements,Paper IDs,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
early growth response protein 1,protein,,egr1,uniprot,q92579,nucleus,go:0005634,pten,protein,,pten,uniprot,q00533,plasma membrane,go:0005886,positive,d,binds,pten promoter region,,,,human,['29'],nan,nan,"in addition to gene mutations, complete or partial loss of pten protein expression may impact pten's tumor suppression ability. the regulation of pten's functions and signaling pathway is shown in figure 2. positive regulators of pten gene expression include early growth response protein 1, peroxisome proliferator-activated receptor γ (pparγ) and p53, which have been shown to directly bind to the pten promoter region [27–29]. early growth response protein 1, which regulates pten expression during the initial steps of apoptosis, has been shown to directly upregulate the expression of pten in non–small cell lung cancer. pparγ is a ligand-activated transcription factor with anti-inflammatory and anti-tumor effects. the activation of its selective ligand, rosiglitazone, leads to the binding of pparγ at two pten promoter sites, ppar response element 1 and ppar response element 2, thus upregulating pten and inhibiting pi3k activity. negative regulators of pten gene expression include mitogen-activated protein kinase kinase-4, transforming growth factor beta (tgf-β), nuclear factor of kappa light polypeptide gene enhancer in b-cells (nf-κb), igf-1, the transcriptional cofactor c-jun proto-oncogene, and the b-cell-specific moloney murine leukemia virus insertion site 1 (bmi1) proto-oncogene, which have been shown to suppress pten expression in several cancer models [30–32]. research found that igf-1 could affect cell proliferation and invasion by suppressing pten's phosphorylation. in pancreatic cancers, tgf-β significantly suppresses pten protein levels concomitant with the activation of akt through transcriptional reduction of pten mrna–induced growth promotion. c-jun negatively regulates the expression of pten by binding to the activator protein 1 site of the pten promoter, resulting in the concomitant activation of the akt pathway. pten transcription is also directly repressed by the leukemia-associated factor ecotropic virus integration site 1 protein in the hematopoietic system [33].",pmc4712330,1,100,40,1,140
cd5,protein,,cd5,uniprot,p00417,plasma membrane,go:0005886,erk,protein,,,uniprot,,plasma membrane,go:0005886,positive,d,phosphorylation,,,b-cell,,mouse,['35'],nan,nan,"our data showed that cd5-ck2 signaling regulates both sustained and acute activation of erk, thus having an impact on positive selection and thymocyte survival. analysis of erk phosphorylation by imagestream further confirmed and provided more statistical power to the data obtained with standard flow cytometry (fig 8 and s4 fig.). interestingly, in contrast to adult mice, the absence of cd5-ck2 signaling in neonatal mice, led to reduced basal levels of p-erk. however, both adult and neonatal thymocytes from cd5-δck2bd mice showed enhanced phosphorylation of erk in response to cd3, compared to their wt counterparts (figs 6 and 7). although, phosphorylation of perk by ck2 is shown to promote its entry into the nucleus [30], we found that this was not altered in cd5-δck2bd thymocytes. this would indicate that ck2 activated by cd5 engagement does not participate directly in erk translocation. additionally, we analyzed jnk and p38 phosphorylation, as these mapk have also been involved in thymocyte selection (reviewed in ([1]). similar to erk, enhanced phosphorylation of jnk, but not of p38, was detected in newborn cd5-δck2bd thymocytes in response to cd3 stimulation. although p38 has recently been shown to promote thymocyte survival and can be activated downstream cd5 [47], our data suggest that cd5 does not mediate p38 dependent signals during thymocyte development.",pmc5193405,1,100,40,1,140
mek1,protein,,mapk8,uniprot,p12872,cytoplasm,go:0005739,erk,protein,,mapk3,uniprot,q05252,cytoplasm,go:0005739,negative,d,phosphorylation,t292,,,,,['54'],nan,nan,"we have recently reported that mek1 is essential for the regulation of the timing and strength of erk signaling. by phosphorylating the t292 site in the proline-rich region of mek1, erk exerts negative feedback control on mek1/mek2 dimers. if mek1 is absent, this control is disabled, leading to increased erk signaling (catalanotti et al., 2009).",pmc3625979,1,100,40,1,140
itk,protein,,itk,uniprot,q05232,plasma membrane,go:0005886,foxp3,protein,,fosl1,uniprot,p61479,plasma membrane,go:0005886,positive,d,phosphorylation,,,naive,,mouse,['2'],nan,nan,"to determine whether the increased differentiation into foxp3+-expressing cells was a more global property of itk−/− cd4+ t cells, we evaluated the differentiation of naive cells under treg cell conditions. when naive cd4+ cells were stimulated with standard concentrations of anti-cd3 (1 µg/ml) in the presence of wt apcs plus il-2 and tgf-β1, a significantly higher percentage of itk-deficient cells became foxp3+ than cells from wt mice (65.4 ± 2.9% vs. 40.1 ± 1.6% in wt cells; fig. 2 a). accordingly, naive itk−/− cd4+ t cells differentiated under these itreg cell–inducing conditions exhibited higher amounts of foxp3 mrna than wt itreg cells (fig. 2 b). similar observations were obtained when naive cd4+ t cells from 5cc7 transgenic mice were differentiated in the presence of treg cell–inducing cytokines (fig. 2 c). naive gfp−cd4+ t cells sorted from itk−/− foxp3gfp mice also gave rise to higher percentages of foxp3+ itreg cells compared with wt mice (fig. 2 d), arguing that these observations were not the result of outgrowth of foxp3+ cells present before culturing. thus, naive cd4+ t cells deficient in itk give rise to increased foxp3+ cells in vitro.",pmc3949578,1,100,40,1,140
tcr,other,,,fplx,tcr,plasma membrane,go:0005886,akt,protein,,akt1,uniprot,q05780,cytoplasm,go:0005634,negative,d,phosphorylation,,wt cd4+ t cells,b-cell,,vein,['9'],nan,nan,"since the homeostasis of t cells involves constant stimulation of the tcr by self-ligands27, we asked whether the tcr signal could stimulate akt degradation and whether this signalling event was regulated by tbk1. to avoid the homeostatic effect of tbk1 deficiency, we employed wt cd4+ t cells. indeed, the stimulation of the wt cd4+ t cells with anti-cd3 and anti-cd28 led to the gradual loss of akt (fig. 5e). moreover, a small-molecule inhibitor of tbk1, mrt67307 (ref. 28), efficiently inhibited the akt degradation (fig. 5e). we next employed a transient transfection model to see whether overexpressed tbk1 was able to induce akt degradation. indeed, the expression of tbk1, but not its catalytically inactive mutant (k38a), caused drastic loss of endogenous akt, which was blocked by a proteasome inhibitor, mg132 (fig. 5f). tbk1 also induced the proteolytic degradation of exogenously expressed akt but did not affect the co-transfected control protein gfp (supplementary fig. 6f).",pmc4302769,1,100,40,1,140
tcr,other,,,fplx,tcr,plasma membrane,go:0005886,foxp3,protein,,foxp3,uniprot,q9bx78,nucleus,go:0005634,positive,d,phosphorylation,,,b-cell,,vein,['14'],nan,nan,"despite an extensive literature on the function of t reg cells in a variety of contexts, little is known about the signaling mechanisms involved in their differentiation and maintenance, or in the regulation of foxp3 expression. several papers document defects in signaling molecules downstream of the tcr or of co-stimulatory receptors that affect the differentiation of both the cd4 single-positive (sp) tconv population and the t reg lineage (references 16–19; for review see reference 20). on the other hand, the identification of signaling factors specifically involved in t reg cell differentiation has remained elusive. differentiation of thymic t reg cells, like that of conventional cd4sp thymocytes, is highly dependent on signals emanating from the tcr (3, 20). the repertoire of tcrs displayed by t reg cells is distinct from that of tconv cells (21–24) and appears to be enriched for self-reactive specificities (22, 25). it has been proposed that t reg cell differentiation relies on tcrs with high affinity for mhc–self-peptide complexes (26–28), although this preference is not necessarily imparted by all high-affinity tcr interactions (29–31). thus, although common signaling pathways coordinate the differentiation of tconv and t reg cells, it is not clear whether quantitative or qualitative differences account for differentiation into the two lineages.",pmc2275380,1,100,40,1,140
pak1,protein,,pak1,uniprot,q92570,cytoskeleton,go:0005739,jnk,protein,,mapk8,uniprot,q92679,cytoskeleton,go:0005739,positive,d,phosphorylation,,,t-cell,,mouse,['46'],nan,nan,"in addition to this effect of pak1 on jnk activation, we previously described a role for a pak1/plcγ-1/bam32 complex in erk activation in both normal cd4+ t cells [7] and in cd4+ t cells isolated from lat-ki mice [5]. furthermore, genetic studies from both our laboratory [5, 6] and others [56] have shown a definitive role for erk signaling in lat-ki lymphoproliferative disease. these and other studies have revealed that there are multiple roads leading to erk activation depending on the signaling environment [57]. this study provides the first evidence that mir-155 modulates erk activation. paradoxically, mir-155 deletion delayed lat-ki lymphoproliferative disease despite causing an increase in erk activation. this effect is in contrast to other null mutants crossed to lat-ki mice (rasgrp1 and bam32), which decreased erk activation and decreased lymphoproliferative disease [5, 6]. we propose that pak1/jnk pathway-mediated apoptosis contributes more to the effect on lymphoproliferative disease than pak1/erk-mediated proliferation in dm t cells. both pak1 and jnk have been associated with cell death [58–60]. here we propose that mir-155, pak1 and jnk are part of a common pathway to apoptosis in t cells. incorporation of a single molecule into distinct pathways of proliferation and apoptosis could provide an elegant way of maintaining tissue homeostasis and preventing carcinogenesis. pak1 could provide such a function by mediating proliferation through pak1/erk action or apoptosis through pak1/jnk action.",pmc4487994,1,100,40,1,140
mek1,protein,,mapk8,uniprot,q96768,plasma membrane,go:0005886,akt,protein,,akt1,uniprot,q04772,plasma membrane,go:0005886,negative,d,inhibits,,t-lymphocyte,t-cell,,human,['55'],nan,nan,mek1 ablation deregulates akt activation and impairs activation-induced cell death,pmc3625979,1,100,40,1,140
pi3k,enzyme,,pi3k,uniprot,p00055,plasma membrane,go:0005886,akt,protein,,akt1,uniprot,q05209,plasma membrane,go:0005886,positive,d,phosphorylation,,,,,human,['25'],nan,nan,"only pi3k pan-inhibition switched off akt signaling, as demonstrated by the reduction or complete abrogation of both thr308 and ser473 p-akt levels. it has been previously reported that a limited pi3k activity is sufficient to support cell survival and proliferation and, consequently, complete pi3k inhibition is required to induce cell death [48]. consistent with that, in spite of changes in cell cycle progression, we observed a significant cell death induction almost exclusively after pi3k pan-inhibition, with the exception of loucy cells where the dual inhibition of p110γ/δ was also effective. importantly, we demonstrated that, at least in the case of zstk-474, the mechanisms involved in cell death are independent of caspase activity as a pan-caspase inhibitor did not reduce cell death.",pmc4496363,1,100,40,1,140
tcr,protein,,,uniprot,tcr,plasma membrane,go:0005886,mhcii,protein,,hla-dm,uniprot,p02094,endoplasmic reticulum,go:0005886,positive,d,binds,,5c.c7,t-cell,,mouse,['36'],nan,nan,"to explore the impact of tcr/pmhc affinity on peripheral foxp3 induction we used 5c.c7 t cells, which recognize a peptide from moth cytochrome c (mcc; 88–103) in the context of the mhcii molecule i-ek (davis et al., 1998). the 5c.c7 tcr is ideal for addressing this question because, in addition to the natural ligand mcc, a wide variety of related peptide ligands have been characterized for their tcr binding properties and in vitro activating potencies (reay et al., 1994; rabinowitz et al., 1996; wilson et al., 1999; li et al., 2004; krogsgaard et al., 2005). in addition to mcc, we assessed foxp3 induction by the weak agonist peptide 102s (reay et al., 1994; rabinowitz et al., 1996) and the superagonist k5 (krogsgaard et al., 2003, 2005; li et al., 2004), both of which contain mutations in tcr contact residues that result in a shorter or longer half-life of 5c.c7 tcr–pmhc interactions, respectively (corse et al., 2010; huppa et al., 2010). all of the peptides used in our study bind to mhc with comparable affinity (krogsgaard et al., 2003), which is essential to separate the influences of tcr ligand potency versus density of pmhc ligand upon t cell responses. to confirm the rank order of the peptides in our experimental setting, we stimulated 5c.c7 t cells with irradiated splenocytes and the indicated titration of peptide (fig. 1 a). as expected, at equivalent doses of peptide 102s induced less 5c.c7 proliferation and k5 more proliferation, relative to the natural ligand mcc. this difference in in vitro potency is apparent in the higher and lower ec50 values for 102s and k5, respectively (fig. 1 a).",pmc2916126,1,1,40,1,41
