index,Regulator Name,Regulator Type,Regulator Subtype,Regulator HGNC Symbol,Regulator Database,Regulator ID,Regulator Compartment,Regulator Compartment ID,Regulated Name,Regulated Type,Regulated Subtype,Regulated HGNC Symbol,Regulated Database,Regulated ID,Regulated Compartment,Regulated Compartment ID,Sign,Connection Type,Mechanism,Site,Cell Line,Cell Type,Tissue Type,Organism,Unnamed: 0,Score,Source,Statements,Paper IDs,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
10,akt,protein,,akt1,uniprot,p31749,cytoplasm,go:0005737,ras,protein,,hras,uniprot,p01112,plasma membrane,go:0005886,positive,i,upregulated signature,,,,,,['719'],nan,nan,acquired resistance to akt inhibition is associated with upregulated ras signature,pmc2911390,1,10,19,1,29
671,mek,protein,,map2k1,uniprot,q02750,cytoplasm,go:0005737,ras,protein,,hras,uniprot,p01112,plasma membrane,go:0005886,negative,i,downregulation,,lung cancer cell lines,,lung,human,['734'],nan,nan,"downregulation of the ras signature by mek inhibition: lung cancer cell lines were grown in standard media. vehicle (dmso) or pd325901 (0.1 μm) was added to cells for 6 or 24 hours. rna was extracted, and gene expression profiling was performed on affymetrix arrays as described below. data from each post-dose group was normalized to the cell line-matched vehicle control.",pmc2911390,1,10,19,1,29
1250,src,protein,non-receptor tyrosine kinase,src,uniprot,p12931,cytoplasm,go:0005737,rps6,protein,,rps6,uniprot,p62753,cytoplasm,go:0005737,negative,i,phosphorylation,,,thyroid,,human,['861'],nan,nan,"advanced stages of papillary and anaplastic thyroid cancer continue to be plagued by a dismal prognosis, which is a result of limited effective therapies for these cancers. due to the high proportion of thyroid cancers harboring mutations in the mapk pathway, the mapk pathway has become a focal point for therapeutic intervention in thyroid cancer. unfortunately, unlike melanoma, a similar responsiveness to mapk pathway inhibition has yet to be observed in thyroid cancer patients. to address this issue, we have focused on targeting the non-receptor tyrosine kinase, src, and we and others have demonstrated that targeting src results in inhibition of growth, invasion, and migration both in vitro and in vivo, which can be enhanced through the combined inhibition of src and the mapk pathway. therefore, we examined the efficacy of the combination therapy across a panel of thyroid cancer cell lines representing common oncogenic drivers (braf, ras, and pik3ca). interestingly, combined inhibition of src and the mapk pathway overcomes intrinsic dasatinib resistance in cell lines where both the mapk and pi3k pathways are inhibited, which we show is likely due to the regulation of the pi3k pathway by src in these responsive cells. interestingly, we have mapped downstream phosphorylation of rps6 as a key biomarker of response, and cells that maintain rps6 phosphorylation likely represent drug tolerant persisters. altogether, the combined inhibition of src and the mapk pathway holds great promise for improving the overall survival of advanced thyroid cancer patients with braf and ras mutations, and activation of the pi3k pathway and rps6 phosphorylation represent important biomarkers of response for patients treated with this therapy.",pmc5833015,1,10,19,1,29
1057,ras,protein,,,,,,,mek,protein,,,,,,,negative,i,drug sensitivity,,lung or breast,,,human,['717'],nan,nan,"ras signature versus drug sensitivity or pathway activation. ras signature score (y-axis) versus cell sensitivity to a mek inhibition (x-axis) across a panel of (a) lung or (b) breast cell lines. lower numbers on the x-axis indicate increasing sensitivity. cell lines circled in bold in (a) have a kras mutation but have low signature scores and are resistant to mek inhibition. (c) ras signature score (y-axis) versus cell sensitivity to an akt inhibitor (x-axis) across a panel of breast cancer cell lines. lower numbers on the x-axis indicate increasing sensitivity. (d) phospho-mek (y-axis) versus ras signature score (x-axis) across a panel of breast cancer cell lines. in all cases, the ras signature score was calculated relative to the mean of all cell lines in the respective experiment. r = pearson correlation coefficient, p = the corresponding p-value.",pmc2911390,1,10,19,1,29
1047,ras,protein,,hras,uniprot,p01112,cytoplasm,go:0005737,erk,protein,,mapk1,uniprot,p28482,nucleus,go:0005634,positive,i,inhibition,erk phosphorylation,,,blood,human,['1002'],nan,nan,"in conclusion, we showed that the ras-braf-mapk-erk pathway is one of the cellular processes affected in cll and identified novel cll drivers. patients with mutations in genes of the ras-braf-mapk-erk pathway had adverse biological features and most of them required treatment. furthermore, our results suggest that inhibition of erk phosphorylation in this subgroup of mutated cll patients can be achieved using new, specific erk inhibitors that have recently entered clinical trials. pharmacological inhibition of the ras-braf-mapk-erk pathway may represent a therapeutic approach to improve responses in this subgroup of cll patients.",pmc6395334,1,10,19,1,29
951,pi3k,protein,,,,,,,akt,protein,,,,,,,negative,i,inhibition,,,,,,['640'],nan,nan,"in parallel, we tested dual-targeting strategies involving pi3k-akt and egfr-ras-erk pathways considering the interconnectivity between these pathways (figure 4—figure supplement 2a). like mek or erk inhibition, we observed that pharmacological inhibition of pi3k or akt in combination with anti-egfr therapy did not enhance efficacy in a kras mutant background (figure 4—figure supplement 2b). in line with this, clinical studies focusing on combining mek inhibitors with pi3k, akt or mtor inhibitors in kras mutant crcs did not yield satisfactory results (shimizu et al., 2012).",pmc5127645,1,10,19,1,29
905,p38 mapk,protein,,,uniprot,p53778,cytoplasm,go:0005737,erk,protein,,,uniprot,p27361,cytoplasm,go:0005737,negative,i,inhibition,,nes2y,pancreatic β-cells,pancreas,human,['461'],nan,nan,"there are data supporting the idea that the p38 mapk signaling pathway could be involved in apoptosis induction by fas in pancreatic β-cells [10,18]. in the present study, we demonstrated that p38 mapk is activated during apoptosis induction by stearic acid (sa) in the human pancreatic β-cells nes2y. therefore, we tested the role of p38 mapk signaling pathway activation in apoptosis induction by sa, representing saturated fas, in nes2y cells. crosstalk between p38 mapk pathway activation and erk pathway inhibition, after sa application, was also tested. we demonstrated that the activation of the p38 mapk pathway could be somehow involved in apoptosis induction by sa in the human pancreatic β-cells nes2y. however, this involvement does not seem to play a key role. crosstalk between p38 mapk pathway activation and erk pathway inhibition in nes2y cells seems likely. thus, the erk pathway inhibition by p38 mapk activation does not also seem to be essential for sa-induced apoptosis.",pmc4783893,1,10,19,1,29
694,mek,protein,,,uniprot,q02750,cytoplasm,go:0005737,vegf,protein,cytokine,vegfa,uniprot,p15692,extracellular region,go:0005576,negative,d,inhibition,,a375 melanoma,melanoma,skin,human,['535'],nan,nan,"sumimoto et al. demonstrated that brafv600e mutant cell lines can produce immunosuppressive cytokines such as vegf, il-6, and il-10 and that mek inhibition with u0126 and braf inhibition using brafv600e specific rnai suppressed secretion of these cytokines. il-12 and tnf-α production by dcs exposed to supernatant from the braf mutant a375 melanoma cell line prior to maturation by lps was suppressed (36). this inhibitory effect was mediated by il-6, il-10, and vegf and could be partially reversed by pre-treatment of the melanoma cells with brafv600e specific rnai, indicating that constitutive activation of the mapk pathway in melanoma cells may lead to compromised dc function and that this immune evasion may be overcome by mapk inhibition. in a separate study, il-10 expression in the melanoma line a375 was found to be induced by tgf-β, an effect that was mediated by cross-talk between the smad, pi3k/akt, and mapk pathways (37).",pmc3809567,1,10,19,1,29
676,mek,protein,,mek,uniprot,p36507,cytoplasm,go:0005737,erk,protein,,erk,uniprot,p27361,cytoplasm,go:0005737,negative,i,inhibition,mek/erk pathway,,senescent,,cell,['94'],nan,nan,"therefore, a question arises why inhibition of mek/erk pathway in senescent cells does not activate a functional cytoprotective autophagy capable of degrading the damaged mitochondria? the answer may be found in the structural and functional organization of the cytoplasm of senescent cells. the increasing number of data demonstrate that spatio-temporal organization of the cytoplasm plays an essential role in implementing regulation of cellular senescence. thus, the lysosomes in senescent cells associate with mtor to form so-called tor-autophagy spatial coupling compartments (tascc), which are localized near the endoplasmic reticulum and golgi complex [44]. in addition, the tasccs were found to be devoid of autophagosomes [78].",pmc5723691,1,10,19,1,29
672,mek,protein,,map2k1,uniprot,q02750,,,erk,protein,,mapk1,uniprot,p28482,,,negative,i,suppression,,,,,,['65'],nan,nan,mek/erk suppression in control eras cells leads to activation of ampk-mediated autophagy which helps to overcome cell death,pmc5723691,1,10,19,1,29
