Regulator Name,Regulator Type,Regulator Subtype,Regulator HGNC Symbol,Regulator Database,Regulator ID,Regulator Compartment,Regulator Compartment ID,Regulated Name,Regulated Type,Regulated Subtype,Regulated HGNC Symbol,Regulated Database,Regulated ID,Regulated Compartment,Regulated Compartment ID,Sign,Connection Type,Mechanism,Site,Cell Line,Cell Type,Tissue Type,Organism,Score,Source,Statements,Paper IDs,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
itk,protein,,,,q08881,,,tcr,protein,,,uniprot,p04234,,,positive,i,,,,,,,nan,nan,nan,pmcpmc3949578,1,100,40,1,140
itk,protein,,,,q08881,,,foxp3,protein,,,uniprot,b7zlg1,,,positive,i,,,,,,,nan,nan,nan,pmcpmc3949578,1,100,40,1,140
mek1,protein,,,,q02750,,,pten,protein,,,,p60485,,,positive,i,,,,,,,nan,nan,nan,pmc4418530,1,100,40,1,140
cd4,protein,,,,p01730,,,tcr,protein,,,uniprot,p04234,,,positive,i,,,,,,,nan,nan,nan,pmcpmc3949578,1,100,40,1,140
nedd4,protein,,,,p46934,,,pten,protein,,,,p60486,,,negative,i,,,,,,,nan,nan,nan,pmc4418530,1,100,40,1,140
notch1,protein,,,,p46531,,,pten,protein,,,uniprot,p60484,,,negative,i,,,,,,,nan,nan,nan,pmcpmc5521878,1,100,40,1,140
proliferation,bioprocess,,,,go:0008283,,,pten,protein,,,uniprot,p60484,,,positive,i,,,,,,,nan,nan,nan,pmcpmc4297581,1,100,40,1,140
foxo1,protein,,,,q12778,,,pten,protein,,,,p60484,,,positive,i,,,,,,,nan,nan,nan,pmc4418530,1,100,40,1,140
il_2,protein,,,,p60568,,,itk,protein,,,uniprot,q08881,,,positive,i,,,,,,,nan,nan,nan,pmcpmc3949578,1,1,40,1,41
tcr,protein,,,,p04234,,,itk,protein,,,uniprot,q08881,,,positive,i,,,,,,,nan,nan,nan,pmcpmc3949578,1,1,40,1,41
foxp3,protein,,,,b7zlg1,,,cd4,protein,,,uniprot,p01730,,,negative,i,,,,,,,nan,nan,nan,pmcpmc3949578,1,1,40,1,41
pten,protein,,,,p60484,,,itk,protein,,,uniprot,q08881,,,negative,i,,,,,,,nan,nan,nan,pmcpmc3949578,1,1,40,1,41
pten,protein,,,,p60484,,,scf,protein,,,uniprot,p21583,,,positive,i,,,,,,,nan,nan,nan,pmcpmc5886055,1,1,40,1,41
tcr,protein,,,,p04234,,,itk,protein,,,uniprot,q08881,,,negative,i,,,,,,,nan,nan,nan,pmcpmc3949578,1,1,40,1,41
foxp3,protein,,,,b7zlg1,,,itk,protein,,,uniprot,q08881,,,negative,i,,,,,,,nan,nan,nan,pmcpmc3949578,1,1,40,1,41
proliferation,bioprocess,,,,go:0008283,,,scf,protein,,,uniprot,p21583,,,positive,i,,,,,,,nan,nan,nan,pmcpmc5618553,1,0.1,39,1,39.1
notch1,protein,,,,p46531,,,fbxw7,protein,,,uniprot,q969h0,,,negative,i,,,,,,,nan,nan,nan,pmcpmc5618553,1,0.1,39,1,39.1
notch1,protein,,,,p46531,,,dll4,protein,,,uniprot,q9nr61,,,positive,i,,,,,,,nan,nan,nan,pmcpmc5618553,1,0.1,39,1,39.1
socs2,protein,,,,o14508,,,dll4,protein,,,uniprot,q9nr61,,,positive,i,,,,,,,nan,nan,nan,pmcpmc5886055,1,0.1,39,1,39.1
socs2,protein,,,,o14508,,,scf,protein,,,uniprot,p21583,,,positive,i,,,,,,,nan,nan,nan,pmcpmc5886055,1,0.1,39,1,39.1
