Regulator Name,Regulator Type,Regulator Subtype,Regulator HGNC Symbol,Regulator Database,Regulator ID,Regulator Compartment,Regulator Compartment ID,Regulated Name,Regulated Type,Regulated Subtype,Regulated HGNC Symbol,Regulated Database,Regulated ID,Regulated Compartment,Regulated Compartment ID,Sign,Connection Type,Mechanism,Site,Cell Line,Cell Type,Tissue Type,Organism,Score,Source,Statements,Paper IDs,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
itk,protein,,,,q08881.d,,,mtor,protein,,,uniprot,p42345,,,negative,i,phosphorylation,,,mesh:d015496 ++++ cl:cl:0000738 ++++ cl:cl:0000815 ++++ cl:cl:0000899 ++++ cl:cl:0000084,,uberon:uberon:0002405,"nan,nan","nan,nan","loss of the tec family kinase itk results in a bias to foxp3 + t reg cell differentiation and reduced tcr induced phosphorylation of mtor targets .,loss of the tec family kinase itk results in a bias to foxp3 + t reg cell differentiation and reduced tcr induced phosphorylation of mtor targets .","pmc3949578,pmc3949578",2,100,40,1,240
tcr,other,,,,tcr,,,mtor,protein,,,uniprot,p42345,,,positive,i,none,,,cl:cl:0000084 ++++ mesh:d015496,,uberon:uberon:0000170,nan,nan,"together , these data indicate that itk is required for full tcr induced activation of mtor and akt pathways in cd4 t cells and suggest that alterations in these pathways may contribute to the increased expression of foxp3 in itk deficient cells . ++++ first , it is likely that decreased or impaired tcr signaling prevents full activation of pi3k and downstream effectors including mtor .",pmc3949578,1,100,40,1,140
anti-cd28,other,,,,uaz616e74692d43443238,,,foxp3,protein,,,uniprot,b7zlg1,,,negative,i,none,,,cl:cl:0000084 ++++ mesh:d015496,,,nan,nan,"accordingly , tcr stimulation in the presence of anti-cd28 further decreased the percentage of foxp3 expressing cells seen with wt cells stimulated under t cell conditions ( fig. 3 , compare b with c ; kim and rudensky , 2006 ; benson et al ., 2007 ) .",pmc3949578,1,100,40,1,140
pd-1,protein,,,,p18621,,,pten,protein,,,uniprot,p60484,,,positive,i,amount,,,cl:cl:0000084 ++++ cl:cl:0000236,,,nan,nan,"the engagement of pd-1 increased pten protein levels and attenuated the akt and pkc θ activities in pre-malignant itk-syk expressing cells ( fig. 3f ) . ++++ mechanistically , pd-1 activity enhances pten levels and attenuates akt and pkc signalling in pre-malignant cells . ++++ we demonstrated above that the ligation of pd-1 enhances pten levels and attenuates pi3k / akt and pkc θ function after itk-syk signalling ( see fig. 3f ) .",pmc5821214,1,100,40,1,140
tcr,other,,,,tcr,,,foxp3,protein,,,uniprot,b7zlg1,,,negative,i,none,,,cl:cl:0000084 ++++ mesh:d015496,,,nan,nan,"accordingly , tcr stimulation in the presence of anti-cd28 further decreased the percentage of foxp3 expressing cells seen with wt cells stimulated under t cell conditions ( fig. 3 , compare b with c ; kim and rudensky , 2006 ; benson et al ., 2007 ) .",pmc3949578,1,100,40,1,140
itk,protein,,,,q08881,,,il-2,protein,,,uniprot,p60568,,,positive,i,none,,,mesh:d015496 ++++ cl:cl:0000084,,,nan,nan,altered il-2 signaling in the absence of itk .,pmc3949578,1,100,40,1,140
tcr,other,,,,tcr,,,cd25,protein,,,uniprot,p01589,,,positive,i,none,,,cl:cl:0000084,,,nan,nan,"although tcr signaling up-regulates cd25 , which is required for il-2 responses in mouse t cells , high tcr engagement paradoxically decreases stat5 phosphorylation so that more efficient stat5 phosphorylation occurs with low tcr engagement ( lee et al ., 1999 ; yamane and paul , 2013 ) .",pmc3949578,1,100,40,1,140
itk,protein,,,,q08881,,,il-2,protein,,,uniprot,p60568,,,negative,i,none,,,cl:cl:0000084 ++++ mesh:d015496,,,nan,nan,"increased percentages of foxp3 producer cells were observed at all concentrations of il-2 in itk cultures , even under limiting il-2 conditions ( fig. 6 b ) .",pmc3949578,1,100,40,1,140
cal-101,chemical,,,,11625818,,,pik3cd,protein,,,uniprot,o00329,,,negative,i,none,,cellosaurus:cvcl_0207 ++++ cellosaurus:cvcl_0013 ++++ cellosaurus:cvcl_4965,,,,nan,nan,inhibition of pik3cd by cal-101 or shrnas reduces the growth of t-all cells .,pmc5986278,1,100,40,1,140
itk,protein,,,,q08881,,,foxp3,protein,,,uniprot,b7zlg1,,,positive,i,none,,,mesh:d015496 ++++ cl:cl:0000084,,,nan,nan,"furthermore , treatment of itk deficient cd4 cells with pten specific shrna reduced the generation of foxp3 cells , supporting the idea that altered pten expression contributes to rather than results from the increased generation of foxp3 cells . ++++ although itk deficient mice have slightly reduced numbers of foxp3 cd4 t cells compared with wt mice , the percentage of cd4 t cells that express foxp3 is higher because of the overall low numbers of cd4 t cells in these mice ( fig. 1 c ) .",pmc3949578,1,100,40,1,140
