Regulator Name,Regulator Type,Regulator Subtype,Regulator HGNC Symbol,Regulator Database,Regulator ID,Regulator Compartment,Regulator Compartment ID,Regulated Name,Regulated Type,Regulated Subtype,Regulated HGNC Symbol,Regulated Database,Regulated ID,Regulated Compartment,Regulated Compartment ID,Sign,Connection Type,Mechanism,Site,Cell Line,Cell Type,Tissue Type,Organism,Score,Source,Statements,Paper IDs,Database Source,Database ID,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
ck2,bioprocess,,,go,go:0005956,,,pten,protein,,pten,uniprot,p60484,,,negative,i,inhibition,,,,,,"0.65,0.8775000000000001","indra,indra","at high dose, the activation of ck2 blocked pten activity and sustained akt activation.,nevertheless, in both of these cell lines, pten was phosphorylated at ser380, which is a marker of pten posttranslational inactivation by ck2 and consequent pi3k pathway activation [ xref , xref ].","pmc4418530,pmc4496363","['nan', 'nan']","['nan', 'nan']",2,100,40,1,240
akt,other,,,fplx,akt,,,foxp3,protein,,foxp3,uniprot,q9bzs1,,,negative,i,decreaseamount,,,,,,"0.65,0.923","indra,indra","the idea that such a strong stimulation would be detrimental to foxp3 induction is consistent with studies demonstrating that akt activity can antagonize expression of foxp3.,a constitutively active allele of akt substantially diminished tgf-beta-induced foxp3 expression in a kinase dependent manner and via a rapamycin sensitive pathway, implicating the akt-mammalian target of rapamycin axis.","pmc2916126,pmc2275380","['nan', 'nan']","['nan', 'nan']",2,100,40,1,240
egr1,protein,,egr1,uniprot,p18146,,,pten,protein,,pten,uniprot,p60484,,,positive,i,increaseamount,,,,,,0.65,indra,"early growth response protein 1, which regulates pten expression during the initial steps of apoptosis, has been shown to directly upregulate the expression of pten in non small cell lung cancer.",pmc4712330,['nan'],['nan'],1,100,40,1,140
tcr,other,,,fplx,tcr,,,pten,protein,,pten,uniprot,p60484,,,negative,i,decreaseamount,,,,,,0.65,indra,"tcr signaling perturbs pten protein levels (xref_fig), but the molecular mechanisms that regulate pten protein levels in t cells are unexplored.",pmc4418530,['nan'],['nan'],1,100,40,1,140
cd274,protein,,cd274,uniprot,q9nzq7,,,il2,protein,,il2,uniprot,p60568,,,positive,i,activation,,,,,,0.65,indra,consistent with this are previous observations that (i) the pd-1 and pd-l1 pathway negatively regulates treg cell proliferation by inhibiting the il-2 signalling cascade [xref_bibr] and (ii) exogenous il-2 can overcome pd-1 and pd-l1-mediated inhibition of proliferation [xref_bibr].,pmc4669187,['nan'],['nan'],1,100,40,1,140
itk,protein,,itk,uniprot,q08881,,,foxp3,protein,,foxp3,uniprot,q9bzs1,,,negative,i,inhibition,,,,,,0.86,indra,"furthermore, treatment of itk deficient cd4 + cells with pten specific shrna reduced the generation of foxp3 + cells, supporting the idea that altered pten expression contributes to rather than results from the increased generation of foxp3 + cells.",pmc3949578,['nan'],['nan'],1,100,40,1,140
proteasome,bioprocess,,,go,go:0000502,,,pten,protein,,pten,uniprot,p60484,,,negative,i,inhibition,,,,,,0.65,indra,high p53 expression triggers proteasome degradation of the pten protein [xref_bibr].,pmc4712330,['nan'],['nan'],1,100,40,1,140
tcr,other,,,fplx,tcr,,,mtor,protein,,mtor,uniprot,p42345,,,positive,i,activation,,,,,,0.65,indra,"together, these data indicate that itk is required for full tcr induced activation of mtor and akt pathways in cd4 + t cells and suggest that alterations in these pathways may contribute to the increased expression of foxp3 in itk deficient cells.",pmc3949578,['nan'],['nan'],1,100,40,1,140
map2k1,protein,,map2k1,uniprot,q02750,,,pten,protein,,pten,uniprot,p60484,,,positive,i,activation,,,,,,0.8775000000000001,indra,"transient suppression of pten at low dose arises from the inclusion of two regulatory mechanisms in the model: the requirement for mek1 to activate pten, ( xref ) and inhibition of mtorc2 by akt ( xref ).",pmc4418530,['nan'],['nan'],1,100,40,1,140
nedd4,protein,,nedd4,uniprot,p46934,,,pten,protein,,pten,uniprot,p60484,,,positive,i,activation,,,,,,0.65,indra,"one recently identified e3 ligase of pten is neural precursor cell expressed, developmentally down-regulated 4, e3 ubiquitin protein ligase 1 (nedd4-1), which mediates pten mono- and poly-ubiquitination [xref_bibr].",pmc4712330,['nan'],['nan'],1,100,40,1,140
mcc,protein,,mcc,uniprot,p23508,,,foxp3,protein,,foxp3,uniprot,q9bzs1,,,positive,i,increaseamount,,,,,,0.65,indra,low doses of mcc peptide were able to induce foxp3 expression in adoptively transferred 5c.,pmc2916126,['nan'],['nan'],1,100,40,1,140
anti-cd28,other,,,text,anti-cd28,,,foxp3,protein,,foxp3,uniprot,q9bzs1,,,negative,i,inhibition,,,,,,0.65,indra,"accordingly, tcr stimulation in the presence of anti-cd28 further decreased the percentage of foxp3 expressing cells seen with wt cells stimulated under t reg cell conditions.",pmc3949578,['nan'],['nan'],1,100,40,1,140
cd4,protein,,cd4,uniprot,p01730,,,il2,protein,,il2,uniprot,p60568,,,negative,i,inhibition,,,,,,0.65,indra,"to further evaluate the responses of itk -/- cells to il-2, naive cd4 + t cells were differentiated under t reg cell conditions with different concentrations of hil2 in the presence of anti-mouse il-2 antibodies to eliminate the contribution of autocrine il-2 production.",pmc3949578,['nan'],['nan'],1,100,40,1,140
tcr,other,,,fplx,tcr,,,il2ra,protein,,il2ra,uniprot,p01589,,,positive,i,activation,,,,,,0.65,indra,"although tcr signaling up-regulates cd25, which is required for il-2 responses in mouse t cells, high tcr engagement paradoxically decreases stat5 phosphorylation so that more efficient stat5 phosphorylation occurs with low tcr engagement.",pmc3949578,['nan'],['nan'],1,100,40,1,140
tcr,other,,,fplx,tcr,,,foxp3,protein,,foxp3,uniprot,q9bzs1,,,negative,i,inhibition,,,,,,0.65,indra,"accordingly, tcr stimulation in the presence of anti-cd28 further decreased the percentage of foxp3 expressing cells seen with wt cells stimulated under t reg cell conditions.",pmc3949578,['nan'],['nan'],1,100,40,1,140
anti-cd3 mab,other,,,text,anti-cd3 mab,,,th,protein,,th,uniprot,p07101,,,positive,i,activation,,,,,,0.65,indra,"to test this prediction, we performed t cell activation assays with low and high doses of anti-cd3 mab, which drive treg and th differentiation respectively (xref_supplementary).",pmc4418530,['nan'],['nan'],1,100,40,1,140
