index,Regulator Name,Regulator Type,Regulator Subtype,Regulator HGNC Symbol,Regulator Database,Regulator ID,Regulator Compartment,Regulator Compartment ID,Regulated Name,Regulated Type,Regulated Subtype,Regulated HGNC Symbol,Regulated Database,Regulated ID,Regulated Compartment,Regulated Compartment ID,Sign,Connection Type,Mechanism,Site,Cell Line,Cell Type,Tissue Type,Organism,Score,Source,Statements,Paper IDs,Database Source,Database ID,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
22,rela,protein,,9955.0,uniprot,q04206,,,hif1a,protein,,4910.0,uniprot,q16665,,,negative,i,inhibition,,,,,,0.65,indra,"similarly, the hif-1alpha upregulation was inhibited by nf-kappab p65 sirna in sgc-shbecn1 cells (xref_supplementary & xref_supplementary).",pmc4741864,['nan'],['nan'],1,1,40,1,41
18,kras,protein,,6407.0,uniprot,p01116,,,becn1,protein,,1034.0,uniprot,q14457,,,negative,i,decreaseamount,,,,,,0.65,indra,mutant kras oncogene can decrease the expression of the autophagic marker becn1.,pmc4891035,['nan'],['nan'],1,1,40,1,41
6,becn1,protein,,1034.0,uniprot,q14457,,,autophagy,bioprocess,,,go,go:0006914,,,positive,i,activation,,,,,,"0.65,0.65,0.65,0.65,0.923,0.86","indra,indra,indra,indra,indra,indra","beclin 1 further activated pi3k (phosphoinositide 3-kinase), leading to formation of autophagosomes and hence an increase in autophagy as shown by tem (transmission electron microscope).,the deletion of atg3, atg5, atg7, beclin-1 and the class iii phosphoinositide 3-kinase vps34, the positive mediators of autophagy, caused impaired autophagy and defective t cell homeostasis by inhibiting t-cell survival through quality control of mitochondria [xref_bibr, xref_bibr, xref_bibr].,we report here that expression of hrasv12 oncogene, an isoform of the ras family, does not affect the autophagy state, though enhancing the levels of the autophagic marker becn1, which has been described to increase basal autophagy and limit the starvation induced autophagy [xref_bibr - xref_bibr].,cytoplasmic hmgb1 induces autophagy by binding to beclin-1 and subsequent activation of the autophagy initiating beclin-1 and pi3kc3 complex.,xref_bibr, xref_bibr although beclin-1 and lc3 are important mediators of autophagy, other molecules and signaling pathways (for example, p53, pi3k/akt/mtor) require critical examination to determine their roles in cells ' autophagic capacity toward cell death or survival following various triggers.,beclin-1 can positively regulate autophagy by combining with pi3kciii and vps34, and other positive and negative cofactors such as vps15, atg14l and barkor, uvrag, bif-1, rubicon, ambra1, hmgb1, survivin, akt and bcl-2 and bcl-x l to form the beclin-1 interactome.","pmc4100138,pmc5008281,pmc4891035,pmc3877563,pmc4260725,pmc3920945","['nan', 'nan', 'nan', 'nan', 'nan', 'nan']","['nan', 'nan', 'nan', 'nan', 'nan', 'nan']",6,0.1,39,1,39.6
11,cdkn1b,protein,,1785.0,uniprot,p46527,,,autophagic cell death,bioprocess,,,go,go:0048102,,,positive,i,activation,,,,,,"0.65,0.65","indra,indra","mir-221/222 might inhibit the cell-cycle inhibitor, p27kip1, a downstream modulator of pi3kci and akt, leading to autophagic cell death in her2 and neu positive primary human breast carcinoma mcf-7 cells, whereas the ectopic expression of mir-221/222 renders the parental mcf-7 cells resistant to tamoxifen [xref_bibr, xref_bibr].,61 mir-221/222 may inhibit the cell cycle inhibitor p27 kip1, a downstream modulator of pi3kci and akt, leading to autophagic cell death in her2 and neu positive primary human breast carcinoma mcf-7 cells, and the ectopic expression of mir-221/222 is found to render the parental mcf-7 cells resistant to tamoxifen.","pmc4182068,pmc3920945","['nan', 'nan']","['nan', 'nan']",2,0.1,39,1,39.2
30,tp53,protein,,11998.0,uniprot,p04637,,,autophagy,bioprocess,,,go,go:0006914,,,positive,i,activation,,,,,,"0.65,0.923","indra,indra","the tumor suppressor gene, p53, which is uniformly activated in response to dna damage by radiation, can induce autophagy through the activation of autophagy inducing genes, particularly ulk1 and ulk2.,27 dram1 and the p53 upregulated modulator of apoptosis (puma) have been shown to be required for p53 induced autophagy.","pmc4100138,pmc3920945","['nan', 'nan']","['nan', 'nan']",2,0.1,39,1,39.2
5,becn1,protein,,1034.0,uniprot,q14457,,,autophagy,bioprocess,,,go,go:0006914,,,negative,i,inhibition,,,,,,"0.65,0.65","indra,indra","when autophagy was inhibited by 3-ma or beclin-1 sirna, the cells were sensitized to apoptosis, and the antiapoptotic effect of hsp72 was abolished.,101 rad001, known as an mtorc1 inhibitor, can increase beclin-1 expression to induce autophagy in leukemia.","pmc4260725,pmc3920945","['nan', 'nan']","['nan', 'nan']",2,0.1,39,1,39.2
0,atg5,protein,,589.0,uniprot,q9h1y0,,,autophagy,bioprocess,,12831.0,go,go:0006914,,,negative,i,inhibition,,,,,,0.65,indra,"beclin-1 and atg5 are two genes that have been shown to be required for the promotion of autophagy [xref_bibr, xref_bibr], and consequently interfering with beclin-1 and/or atg5 expression should reduce autophagy and protect against autophagic cell death.",pmc4100138,['nan'],['nan'],1,0.1,39,1,39.1
20,parp1,protein,,270.0,uniprot,p09874,,,dna repair,bioprocess,,,go,go:0006281,,,positive,i,activation,,,,,,0.65,indra,"poly (adp-ribose) polymerase (parp) is activated by dna strand breaks, thereby facilitating dna repair and enzyme access to damaged dna.",pmc3877563,['nan'],['nan'],1,0.1,39,1,39.1
21,pik3c3,protein,,8974.0,uniprot,q8neb9,,,autophagy,bioprocess,,,go,go:0006914,,,positive,i,activation,,,,,,0.65,indra,"the deletion of atg3, atg5, atg7, beclin-1 and the class iii phosphoinositide 3-kinase vps34, the positive mediators of autophagy, caused impaired autophagy and defective t cell homeostasis by inhibiting t-cell survival through quality control of mitochondria [xref_bibr, xref_bibr, xref_bibr].",pmc5008281,['nan'],['nan'],1,0.1,39,1,39.1
23,rubcn,protein,,28991.0,uniprot,q92622,,,autophagy,bioprocess,,,go,go:0006914,,,negative,i,inhibition,,,,,,0.65,indra,"the atg14l (atg14l-beclin-1-hvps34-p150) and uvrag (uvrag-beclin-1-hvps34-p150) complexes are required for autophagy, whereas the rubicon complex (rubicon-uvrag-beclin-1-hvps34-p150) negatively regulates autophagy.",pmc3877563,['nan'],['nan'],1,0.1,39,1,39.1
