index,Regulator Name,Regulator Type,Regulator Subtype,Regulator HGNC Symbol,Regulator Database,Regulator ID,Regulator Compartment,Regulator Compartment ID,Regulated Name,Regulated Type,Regulated Subtype,Regulated HGNC Symbol,Regulated Database,Regulated ID,Regulated Compartment,Regulated Compartment ID,Sign,Connection Type,Mechanism,Site,Cell Line,Cell Type,Tissue Type,Organism,Score,Source,Statements,Paper IDs,Database Source,Database ID,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
26,kitlg,protein,,kitlg,uniprot,p21583,,,pten,protein,,pten,uniprot,p60484,,,positive,i,activation,,,,,,0.65,indra,"/ tal1 + cells in the absence of il7r/jak/stat signaling, differential expression analysis of scf stimulated versus -unstimulated pten del.",pmc5886055,['nan'],['nan'],1,100,40,1,140
14,ifng,protein,,ifng,uniprot,p01579,,,pten,protein,,pten,uniprot,p60484,,,positive,i,activation,,,,,,0.65,indra,"because the development of this t reg subset is dependent upon ifn-gamma signaling 3, we examined whether excessive ifn-gamma production in pten fl/fl foxp3-cre mice was involved in the dysregulation of t-bet and cxcr3.",pmc4297581,['nan'],['nan'],1,100,40,1,140
33,notch1,protein,,notch1,uniprot,p46531,,,relb,protein,,relb,uniprot,q01201,,,positive,i,increaseamount,,,,,,0.65,indra,"notch1, which is mutated in half of t-all cases (see section 5.1), can activate nf-kappab pathway in t-all cell lines and in the intracellular notch1 (icn1)-induced mouse model, either transcriptionally, promoting relb and p52 expression, or indirectly via ikk complex activation [xref_bibr].",pmc5618553,['nan'],['nan'],1,100,40,1,140
28,map2k1,protein,,map2k1,uniprot,q02750,,,pten,protein,,pten,uniprot,p60484,,,positive,i,activation,,,,,,0.8775000000000001,indra,"transient suppression of pten at low dose arises from the inclusion of two regulatory mechanisms in the model: the requirement for mek1 to activate pten, ( xref ) and inhibition of mtorc2 by akt ( xref ).",pmc4418530,['nan'],['nan'],1,100,40,1,140
34,pdcd1,protein,,pdcd1,uniprot,q15116,,,pten,protein,,pten,uniprot,p60484,,,positive,i,activation,,,,,,0.65,indra,"mechanistically , pd-1 activity enhances pten levels and attenuates akt and pkc signalling in pre-malignant cells .",pmc5821214,['nan'],['nan'],1,100,40,1,140
1,cd4,protein,,cd4,uniprot,p01730,,,foxp3,protein,,foxp3,uniprot,q9bzs1,,,negative,i,inhibition,,,,,,0.65,indra,"furthermore, treatment of itk deficient cd4 + cells with pten specific shrna reduced the generation of foxp3 + cells, supporting the idea that altered pten expression contributes to rather than results from the increased generation of foxp3 + cells.",pmc3949578,['nan'],['nan'],1,100,40,1,140
35,pdcd1,protein,,pdcd1,uniprot,q15116,,,pten,protein,,pten,uniprot,p60484,,,positive,i,increaseamount,,,,,,0.9419,indra,"thus, although these checkpoint inhibitors accelerate the growth of t cells with oncogenically sensitized tcr pathways, their pharmacological effects are only transient in contrast to the effect of t cell intrinsic pdcd1 gene deletion.we demonstrated above that the ligation of pd-1 enhances pten levels and attenuates pi3k/akt and pkcθ function after itk-syk signalling (see fig. 3f).",pmc5821214,['nan'],['nan'],1,100,40,1,140
23,itk,protein,,itk,uniprot,q08881,,,mtor,protein,,mtor,uniprot,p42345,,,negative,i,inhibition,,,,,,0.65,indra,the reduction in s6 phosphorylation in response to both tcr and il-2 in itk deficient cells suggested that itk deficiency more globally prevented effective activation of pi3k- and mtor mediated pathways.,pmc3949578,['nan'],['nan'],1,100,40,1,140
22,itk,protein,,itk,uniprot,q08881,,,il2,protein,,il2,uniprot,p60568,,,positive,i,activation,,,,,,0.65,indra,"these results suggest that itk deficiency did not simply increase il-2 responses, but rather altered signaling in response to il-2, such that stat5 activation was uncoupled from mtor activation.",pmc3949578,['nan'],['nan'],1,100,40,1,140
21,itk,protein,,itk,uniprot,q08881,,,foxp3,protein,,foxp3,uniprot,q9bzs1,,,negative,i,inhibition,,,,,,0.86,indra,"furthermore, treatment of itk deficient cd4 + cells with pten specific shrna reduced the generation of foxp3 + cells, supporting the idea that altered pten expression contributes to rather than results from the increased generation of foxp3 + cells.",pmc3949578,['nan'],['nan'],1,100,40,1,140
